Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Trend
1/17/2012,161.169998,161.649994,160.419998,160.5,160.5,8313300,130.080002,130.320007,128.899994,129.339996,112.328224,132209200,12423.12012,12573.65039,12423.12012,12482.07031,12482.07031,148670000,71.099998,71.550003,69.599998,70.099998,67.726555,503100,1.274,1.2664,1.2811,1.2649,1,111.53,111.42,112.76,110.56,189960,1,1
1/18/2012,159.940002,161.639999,159.679993,161.600006,161.600006,9341200,129.309998,130.839996,129.080002,130.770004,113.570152,163395200,12474.69043,12582.28027,12453.2002,12578.9502,12578.9502,154170000,69.650002,71.099998,69.650002,69.949997,67.581627,506700,1.2854,1.2736,1.2864,1.2732,1,110.66,111.46,112.2,110.33,213900,0,1
1/19/2012,160.960007,161.449997,160.330002,161.220001,161.220001,8114200,131.220001,131.570007,130.800003,131.460007,114.16938,126328900,12578.19043,12625.79981,12563.58008,12623.98047,12623.98047,148030000,70.150002,70.599998,68.099998,68.599998,66.277336,498300,1.2965,1.2858,1.2971,1.2837,1,111.55,111.1,111.75,110.37,173950,1,0
1/20/2012,160.5,162.089996,160,162.070007,162.070007,11616700,131.240005,131.949997,130.919998,131.949997,114.594948,138230200,12623.83008,12720.48047,12620.75977,12720.48047,12720.48047,255110000,68.050003,69.25,67.349998,67.949997,65.649345,528800,1.2938,1.2967,1.2986,1.2887,0,109.86,111.53,112.06,109.42,161670,0,0
1/23/2012,162.320007,163.470001,162.320007,163.160004,163.160004,8832100,131.509995,132.25,130.979996,131.610001,114.299622,129295800,12720.25,12764.49023,12665.83008,12708.82031,12708.82031,149860000,68.650002,69.25,67.650002,68.150002,65.8425829999999,615100,1.303,1.2872,1.3054,1.2872,1,110.58,110.04,111.36,109.23,143540,1,1
1/24/2012,161.809998,162.369995,161.529999,162.009995,162.009995,7502100,130.800003,131.5,130.600006,131.460007,114.16938,103083300,12708.37012,12708.51953,12613.54004,12675.75,12675.75,125420000,67.699997,68.050003,66.25,66.599998,64.345062,503900,1.3022,1.3028,1.3064,1.2954,0,110.03,110.84,111.11,109.7,178430,0,0
1/25/2012,161.070007,166.550003,160.289992999999,166.419998,166.419998,28957700,131.259995,132.869995,130.75,132.559998,115.124702,198613200,12673.62988,12778.25977,12580.12012,12758.84961,12758.84961,135430000,66.150002,70.599998,65.25,70.300003,67.919785,1366800,1.311,1.3028,1.3121,1.2929,1,109.81,110.22,110.89,108.91,234590,0,1
1/27/2012,167.440002,169,167.410004,168.970001,168.970001,13030100,131.240005,132.050003,131.149994,131.820007,114.482039999999,135259100,12733.9502,12733.9502,12630.71973,12660.45996,12660.45996,164410000,71.150002,76.050003,70.25,75.25,73.1675569999999,993200,1.3226,1.3106,1.323,1.3077,1,111.46,111,111.99,110.49,218690,1,0
1/30/2012,168.190002,168.539992999999,167.740005,168.029999,168.029999,8438000,130.509995,131.440002,130.059998,131.369995,114.091202,147311800,12659.16992,12659.32031,12529.41016,12653.71973,12653.71973,130430000,73.800003,75.150002,72.900002,74.150002,72.098,695100,1.3127,1.3226,1.3232,1.3076,0,110.75,111.5,111.78,110.25,163790,0,0
1/31/2012,169.770004,169.860001,167.720001,169.309998,169.309998,11192500,132.020004,132.179993,130.679993,131.320007,114.047813,157212000,12654.78027,12720.09961,12567.33008,12632.91016,12632.91016,168070000,75.949997,76.349998,73.900002,75.550003,73.459251,735400,1.3079,1.3135,1.3213,1.3041,0,110.98,110.98,113.9,110.5,238210,1,0
